timestamp,New ECG Sample
0.0,-26
0.001,-43
0.002,-38
0.003,-23
0.004,-28
0.005,-11
0.006,-25
0.007,-28
0.008,-34
0.009,8
0.01,-27
0.011,1
0.012,-18
0.013,0
0.014,-5
0.015,-5
0.016,-10
0.017,10
0.018,4
0.019,-5
0.02,-11
0.021,20
0.022,5
0.023,27
0.024,30
0.025,17
0.026,22
0.027,31
0.028,29
0.029,37
0.03,34
0.031,15
0.032,34
0.033,31
0.034,51
0.035,35
0.036,30
0.037,32
0.038,64
0.039,20
0.04,38
0.041,56
0.042,46
0.043,43
0.044,58
0.045,38
0.046,70
0.047,69
0.048,41
0.049,44
0.05,77
0.051,49
0.052,26
0.053,52
0.054,43
0.055,68
0.056,74
0.057,54
0.058,78
0.059,42
0.06,68
0.061,54
0.062,82
0.063,49
0.064,57
0.065,49
0.066,54
0.067,55
0.068,74
0.069,48
0.07,55
0.071,62
0.072,57
0.073,64
0.074,64
0.075,42
0.076,70
0.077,38
0.078,49
0.079,44
0.08,73
0.081,54
0.082,68
0.083,54
0.084,24
0.085,44
0.086,31
0.087,42
0.088,54
0.089,47
0.09,31
0.091,30
0.092,21
0.093,21
0.094,36
0.095,21
0.096,25
0.097,29
0.098,40
0.099,31
0.1,-8
0.101,26
0.102,13
0.103,-12
0.104,15
0.105,4
0.106,5
0.107,0
0.108,7
0.109,-3
0.11,-14
0.111,-14
0.112,2
0.113,-10
0.114,-38
0.115,-18
0.116,-3
0.117,-11
0.118,-32
0.119,-7
0.12,-30
0.121,-16
0.122,-7
0.123,-1
0.124,-20
0.125,-19
0.126,-4
0.127,-32
0.128,-21
0.129,-7
0.13,-6
0.131,9
0.132,-17
0.133,-16
0.134,-32
0.135,-9
0.136,-10
0.137,-30
0.138,-19
0.139,-23
0.14,-13
0.141,-15
0.142,-23
0.143,-7
0.144,-10
0.145,-11
0.146,-1
0.147,-3
0.148,-13
0.149,-19
0.15,-12
0.151,-14
0.152,3
0.153,-21
0.154,41
0.155,2
0.156,-3
0.157,0
0.158,33
0.159,7
0.16,16
0.161,16
0.162,31
0.163,0
0.164,5
0.165,37
0.166,43
0.167,35
0.168,47
0.169,29
0.17,38
0.171,36
0.172,38
0.173,32
0.174,63
0.175,59
0.176,74
0.177,70
0.178,85
0.179,93
0.18,80
0.181,64
0.182,80
0.183,76
0.184,69
0.185,43
0.186,79
0.187,72
0.188,72
0.189,98
0.19,83
0.191,91
0.192,90
0.193,120
0.194,116
0.195,99
0.196,78
0.197,89
0.198,101
0.199,108
0.2,103
0.201,118
0.202,120
0.203,121
0.204,127
0.205,122
0.206,134
0.207,115
0.208,122
0.209,134
0.21,139
0.211,127
0.212,116
0.213,94
0.214,141
0.215,137
0.216,128
0.217,121
0.218,152
0.219,136
0.22,146
0.221,121
0.222,115
0.223,131
0.224,129
0.225,118
0.226,158
0.227,126
