timestamp,New ECG Sample
0.0,6
0.001,1
0.002,-2
0.003,-8
0.004,13
0.005,-17
0.006,12
0.007,8
0.008,9
0.009,26
0.01,-1
0.011,-21
0.012,-19
0.013,-4
0.014,-17
0.015,-14
0.016,-10
0.017,5
0.018,37
0.019,40
0.02,50
0.021,67
0.022,65
0.023,71
0.024,57
0.025,75
0.026,55
0.027,50
0.028,52
0.029,48
0.03,69
0.031,52
0.032,42
0.033,30
0.034,15
0.035,-15
0.036,-32
0.037,-44
0.038,-48
0.039,-53
0.04,-60
0.041,-37
0.042,-12
0.043,0
0.044,22
0.045,32
0.046,42
0.047,40
0.048,47
0.049,35
0.05,47
0.051,28
0.052,17
0.053,10
0.054,20
0.055,19
0.056,15
0.057,14
0.058,27
0.059,8
0.06,13
0.061,9
0.062,14
0.063,27
0.064,38
0.065,53
0.066,54
0.067,76
0.068,75
0.069,71
0.07,52
0.071,55
0.072,26
0.073,-2
0.074,-12
0.075,1
0.076,-17
0.077,-15
0.078,-7
0.079,-1
0.08,-3
0.081,-2
0.082,5
0.083,-8
0.084,-10
0.085,5
0.086,-11
0.087,-1
0.088,11
0.089,16
0.09,30
0.091,16
0.092,34
0.093,21
0.094,21
0.095,3
0.096,-11
0.097,-29
0.098,-36
0.099,-49
0.1,-61
0.101,-36
0.102,-42
0.103,-23
0.104,-11
0.105,28
0.106,43
0.107,58
0.108,64
0.109,77
0.11,79
0.111,72
0.112,69
0.113,82
0.114,62
0.115,52
0.116,59
0.117,25
0.118,24
0.119,7
0.12,-2
0.121,-11
0.122,7
0.123,7
0.124,40
0.125,50
0.126,70
0.127,79
0.128,86
0.129,93
0.13,79
0.131,65
0.132,57
0.133,31
0.134,28
0.135,28
0.136,23
0.137,33
0.138,24
0.139,48
0.14,64
0.141,69
0.142,63
0.143,33
0.144,25
0.145,6
0.146,-7
0.147,-20
0.148,-33
0.149,-21
0.15,-26
0.151,2
0.152,12
0.153,36
0.154,47
0.155,40
0.156,47
0.157,45
0.158,41
0.159,31
0.16,15
0.161,15
0.162,13
0.163,25
0.164,22
0.165,29
0.166,27
0.167,26
0.168,35
0.169,34
0.17,47
0.171,70
0.172,76
0.173,79
0.174,96
0.175,103
0.176,132
0.177,127
0.178,134
0.179,126
0.18,127
0.181,120
0.182,119
0.183,115
0.184,91
0.185,94
0.186,80
0.187,102
0.188,85
0.189,83
0.19,87
0.191,82
0.192,79
0.193,65
0.194,55
0.195,46
0.196,26
0.197,27
0.198,35
0.199,45
0.2,48
0.201,64
0.202,76
0.203,82
0.204,67
0.205,78
0.206,60
0.207,46
0.208,36
0.209,33
0.21,10
0.211,-1
0.212,15
0.213,-7
0.214,-22
0.215,-23
0.216,-16
0.217,-12
0.218,-15
0.219,0
0.22,12
0.221,26
0.222,58
0.223,72
0.224,102
0.225,111
0.226,104
0.227,114
0.228,101
0.229,103
0.23,90
0.231,78
0.232,72
0.233,60
0.234,55
0.235,39
0.236,47
0.237,42
0.238,17
0.239,15
0.24,6
0.241,-9
0.242,2
0.243,-27
0.244,-22
0.245,-32
0.246,-18
0.247,-6
0.248,-3
0.249,17
0.25,37
0.251,49
0.252,48
0.253,53
0.254,44
0.255,38
0.256,57
0.257,37
0.258,54
0.259,49
0.26,61
0.261,42
0.262,46
0.263,25
0.264,10
0.265,16
0.266,-20
0.267,-19
0.268,-9
0.269,0
0.27,36
0.271,47
0.272,67
0.273,103
0.274,127
0.275,119
0.276,124
0.277,143
0.278,147
0.279,149
0.28,153
0.281,170
0.282,200
0.283,237
0.284,250
0.285,296
0.286,360
0.287,403
0.288,442
0.289,502
0.29,565
0.291,650
0.292,688
0.293,765
0.294,816
0.295,867
0.296,871
0.297,866
0.298,850
0.299,783
0.3,714
0.301,600
0.302,502
0.303,385
0.304,290
0.305,194
0.306,118
0.307,62
0.308,14
0.309,-9
0.31,-59
0.311,-67
0.312,-92
0.313,-99
0.314,-110
0.315,-117
0.316,-134
0.317,-110
0.318,-115
0.319,-80
0.32,-47
0.321,-16
0.322,8
0.323,27
0.324,47
0.325,65
0.326,58
0.327,57
0.328,81
0.329,82
0.33,87
0.331,71
0.332,86
0.333,85
0.334,91
0.335,42
0.336,47
0.337,13
0.338,-5
0.339,-12
0.34,-32
0.341,-17
0.342,-1
0.343,29
0.344,56
0.345,80
0.346,97
0.347,122
0.348,140
0.349,140
0.35,149
0.351,148
0.352,130
0.353,120
0.354,114
0.355,91
0.356,80
0.357,49
0.358,42
0.359,12
0.36,8
0.361,-9
0.362,-18
0.363,-15
0.364,-9
0.365,21
0.366,40
0.367,77
0.368,117
0.369,145
0.37,172
0.371,171
0.372,181
0.373,171
0.374,179
0.375,154
0.376,164
0.377,133
0.378,121
0.379,128
0.38,119
0.381,115
0.382,116
0.383,105
0.384,89
0.385,73
0.386,53
0.387,48
0.388,45
0.389,41
0.39,67
0.391,99
0.392,111
0.393,134
0.394,179
0.395,190
0.396,191
0.397,199
0.398,212
0.399,200
0.4,193
0.401,170
0.402,164
0.403,144
0.404,158
0.405,176
0.406,184
0.407,178
0.408,197
0.409,201
0.41,207
0.411,214
0.412,210
0.413,213
0.414,217
0.415,207
0.416,218
0.417,198
0.418,194
0.419,199
0.42,190
0.421,180
0.422,185
0.423,178
0.424,187
0.425,194
0.426,225
0.427,227
0.428,245
0.429,276
0.43,292
0.431,293
0.432,299
0.433,303
0.434,302
0.435,295
0.436,268
0.437,270
0.438,268
0.439,247
0.44,269
0.441,270
0.442,288
0.443,289
0.444,295
0.445,308
0.446,289
0.447,286
0.448,279
0.449,266
0.45,251
0.451,250
0.452,263
0.453,265
0.454,267
0.455,283
0.456,297
0.457,337
0.458,325
0.459,339
0.46,342
0.461,358
0.462,369
0.463,381
0.464,368
0.465,365
0.466,366
0.467,342
0.468,328
0.469,308
0.47,273
0.471,254
0.472,223
0.473,224
0.474,190
0.475,177
0.476,175
0.477,179
0.478,176
0.479,165
0.48,174
0.481,163
0.482,141
0.483,140
0.484,152
0.485,124
0.486,123
0.487,91
0.488,78
0.489,56
0.49,36
0.491,22
0.492,-10
0.493,-34
0.494,-37
0.495,-50
0.496,-49
0.497,-37
0.498,-46
0.499,-24
0.5,-30
0.501,-23
0.502,-29
0.503,-43
0.504,-37
0.505,-57
0.506,-67
0.507,-58
0.508,-35
0.509,-29
0.51,-18
0.511,1
0.512,-8
0.513,14
0.514,14
0.515,15
0.516,7
0.517,-20
0.518,-27
0.519,-70
0.52,-83
0.521,-97
0.522,-88
0.523,-105
0.524,-84
0.525,-82
0.526,-62
0.527,-43
0.528,-41
0.529,-11
0.53,-21
0.531,-8
0.532,-13
0.533,-15
0.534,-27
0.535,-22
0.536,-11
0.537,-27
0.538,-29
0.539,-34
0.54,-29
0.541,-37
0.542,-61
0.543,-65
0.544,-94
0.545,-129
0.546,-121
0.547,-117
0.548,-128
0.549,-130
0.55,-107
0.551,-82
0.552,-71
0.553,-58
0.554,-40
0.555,-31
0.556,-24
0.557,-45
0.558,-15
0.559,-14
0.56,-6
0.561,-1
0.562,12
0.563,18
0.564,43
0.565,52
0.566,33
0.567,30
0.568,10
0.569,-11
0.57,-14
0.571,-34
0.572,-32
0.573,-28
0.574,-40
0.575,-48
0.576,-54
0.577,-67
0.578,-53
0.579,-71
0.58,-70
0.581,-60
0.582,-50
0.583,-57
0.584,-41
0.585,-13
0.586,-25
